	Ref	Google Before	Google After	TER
338	모디세는 “메건은 왕족으로서의 삶이 아니라 어려움을 겪는 보통의 삶에 대해 말했다”고 덧붙이며 자신이 메건에게 약간 “압도당했음”을 인정했다.	'그녀는 왕족이 되는 것이 아니라 도전이 있을 때의 일반적인 삶을 말하는 것'이라고 Modise가 덧붙였다.	"""그녀는 왕실이라고 말하지 않았지만, 당신이 도전을 가질 때 일반적으로 인생이었습니다.""라는 Modise는 Meghan에 의해 약간 ""awestruck""을 느꼈다."	1.0
339	“메건은 기품이 넘치는 사람이고, 자신이 맡은 이 문제를 임함에 있어 우아함을 잃지 않는다.”고 모디세는 말했다.	'그녀는 은총을 발산하며 그녀가 가진 이 임무를 그런 은총으로 수행하고 있습니다.'라고 Modise가 말했습니다.	"""그녀는 은혜를 발산하고 그녀가 그런 은혜를 가지고있는이 일을하고 있습니다.""라고 Modise는 말했습니다."	1.0
340	우리 대부분이 설립자로서 놀라운 일을 많이 했지만, 왕족을 만나는 건 상당히 벅찬 일이다.	많은 우리 중 많은 것들이 창시자로서 놀라운 일을 해왔으나 로열 만나는 것은 꽤 까다 롭습니다.	"""많은 우리 중 많은 것들이 창시자로서 놀라운 일을 해왔으나 로열 만나는 것은 꽤 까다 롭습니다."	0.0667
341	메건이 수월하게 만들어줬다.	그녀는 쉽게 만들었습니다.	그녀는 쉽게 만들었습니다.	0.0
342	그녀는 정말 소박한 왕족이다.”	그녀는 쉽게 갈 것입니다. '	"그녀는 쉽게 왕실입니다. """	0.75
343	메건은 워킹맘에게 오는 압박마저도 즐기고 있다고 밝혔고, 왕족으로서 할일과 어린 아치를 돌보는 일을 동시에 하는 게 “버겁”지만 “둘다 매우 신나는 일”이라고 말했다.	Meghan은 또한 그녀는 일하는 어머니가되는 압력을 즐기고 있습니다. 그녀는 왕실이되고 아기 아치를 많이 돌려 보며 '모든 흥미 진진한'을 찾고 있습니다.	"Meghan은 또한 그녀가 일하는 어머니가되는 압력을 즐기고 있습니다. 그녀는 왕실이되고 아기 아치를 낳는 것처럼 보이는 저글링을 발견하고 아기 archie ""를 많이 찾는다. 그러나""모든 흥미 진진한 ""."	0.5769
344	메건은 케이프 이노베이션 앤 테크놀로지의 CEO이자 두 아이의 엄마인 라라 로스마린에게 이렇게 말했다. “우리는 이제 겨우 5개월 됐다.	Meghan은 Cape Innovation 및 Technology의 CEO 인 2 개의 라라 로사린 (Mother-of-Two Mother-of-Two Rora Rosmarin)에 말하기 : '우리는 지금은 5 개월 만에 우리 우린 지금 당장.	"Meghan은 Cape Innovation and Technology의 CEO의 어머니 ~ 2 마리의 라라 로사린 (Mother-of-Three Rosmarin)에 말하기 : ""우리는 지금은 5 개월 만에 있습니다."	0.5909
345	워킹맘이 되고 아기와 돌아다니는 건 세상에나 정말 벅차다, 그러지만 둘다 정말 즐겁다.”	일하는 엄마가되고, 아기와 함께 여행하는 것은 많은 것이 많지만, 그것은 너무 흥미 진진합니다.	"일하는 엄마가되고, 아기와 함께 여행하는 것은 많은 것이 많지만 너무 흥미로운 것입니다. """	0.3846
346	“모든 걸 해내는 게 때로는 힘들지만 또 어떤 때에는 우리가 누군가를 만나 그들에게 영향을 주고 그걸 보며 ‘아하’라고 깨닫는다. 참 보람찬 일이다.”	"'저글링에 많이있을 때 며칠이지만, 당신은 누군가를 만나고 당신은 그들에게 영향을 미치고 당신은 ""아 - 하""라고 말하고, 그것은 너무 보람입니다.'"	"""저글링하는 데는 많은 일이 아닐 수도 있습니다. 그러나 당신은 누군가를 만나고 당신이 그들에게 영향을 미치고 당신은""Ah-ha ""라고 말하고, 그렇게 보람입니다."""	0.8
347	그 후 메건은 HIV를 앓고 있는 여성의 교육과 고용을 지원하는 비영리단체인 마더스투마더스 케이프타운을 방문했다.	Meghan은 HIV를 가진 여성을 훈련시키고 고용하는 도시의 어머니 2mothers 조직에갔습니다.	Meghan은 HIV를 가진 여성을 훈련시키고 고용하는 도시의 어머니 2mothers 조직에갔습니다.	0.0
348	메건은 아이를 둔 지인들에게 기증 받은 기증품과 함께 ‘더 퓨처(미래)’라고 적힌 원지 한 벌과 인빅투스의 베이비그로 한 벌 등 아치가 커서 못 입는 옷을 가져갔다.	그녀는 '미래'와 그분의 사람들이 더 이상 적합하지 않은 '미래'와 그의 친구들과의 기부와 함께 아이들과 함께 기부를하는 것을 포함하여 아치의 아기 옷을 따라갔습니다.	"그녀는 ""미래""와 그분의 친구들이 아이들과 함께 기부금과 함께 더 이상 적합하지 않은 ""미래""와 그의 비참한 베이비로를 비롯한 아치의 아기 옷을 따라갔습니다."	0.5238
349	스코틀랜드 국민당, 노딜 브렉시트 멈추기 위해 임시 총리로 제레미 코빈 지지할 수도	SNP는 임시 PM으로 Jeremy Corbyn을 지원할 수 있습니다.	SNP는 임시 PM으로 Jeremy Corbyn을 지원할 수 있습니다.	0.0
350	스코틀랜드 국민당은 노딜 브렉시트 문제를 해결하기 위해 한시적으로 제레미 코빈을 영국 총리로 임명하는 것을 지지한다는 신호를 보냈다.	SNP는 일시적인 BREXIT를 방해하기 위해 일시적인 근거로 jeremy corbyn 설치를 지원할 수 있습니다.	SNP는 일시적인 BREXIT를 방해하기 위해 일시적인 근거로 jeremy corbyn 설치를 지원할 수 있습니다.	0.0
351	하원의원과 영국 총리실 간의 긴장이 고조됨에 따라 니컬라 스터전 의원은 다음 대선까지 임시 총리로 노동당 대표인 코빈을 밀 수도 있음을 시사했다.	MPS와 Downing Street 사이의 긴장감이 심화됨에 따라 Nicola Strulgeon은 일반 선거가 될 때까지 선임 장관으로서의 노동 지도자의 뒤에서 노동자 뒤에있을 수 있습니다.	MPS와 Downing Street 사이의 긴장감이 심화됨에 따라 Nicola Strulgeon은 일반 선거가 될 때까지 선임 장관으로서의 노동 지도자의 뒤에서 노동자 뒤에있을 수 있습니다.	0.0
352	코빈 의원은 지난 8월 적수인 토리당과 야당 하원의원들에게 자신이 임시 행정부를 이끌 수 있게 지지해달라고 요청했지만, 그의 행보에 반대가 심했고, 대표적으로 자유민주당 당수인 조 스윈슨이 그랬다.	Corbyn은 8 월에 임시 행정 행정을 이끌어 내기 위해 반란군의 역방향 MPS를 반역자로 옮겼지 만, 특히 자유주의 민주당의 지도자 조윈슨 (Jo Swinson)에서 저항으로 만났습니다.	Corbyn은 8 월에 임시 행정 행정을 이끌어 내기 위해 반란군의 역방향 MPS를 반역자로 옮겼지 만, 특히 자유주의 민주당의 지도자 조윈슨 (Jo Swinson)에서 저항으로 만났습니다.	0.0
353	그의 제안에 따르면, 야권은 불신임 투표로 보리스 존슨 총리를 축출한 뒤 연합 정부를 구성해 10월 31일 영국이 EU에서 탈퇴하는 것을 연장하고자 한다.	제안서에서, 야당 당사자들은 자신감이 없다면 Boris Johnson을 시도하고 10 월 31 일에 EU에서 충돌하는 것을 방지하기위한 연장을 모색하는 단일 정부를 형성 할 것입니다.	제안서에서, 야당 당사자들은 자신감이 없다면 Boris Johnson을 시도하고 10 월 31 일에 EU에서 충돌하는 것을 방지하기위한 연장을 모색하는 단일 정부를 형성 할 것입니다.	0.0
354	당시 이 계획은 양당의 지지를 얻지 못했지만, SNP 원로 의원들은 10월 19일 전까지 합의가 없으면(노딜) 존슨 총리가 브렉시트 연장을 의무화한 법을 따르지 않을 수도 있다는 점을 우려했다.	이 계획은 당시 적용 교당 지원을 얻지 못했지만 SNP의 수석 수치는 10 월 19 일 이전에 거래가 없으면 Johnson이 법률을 지연시키는 법을 지연시킬 법을 강요 할 수 있다고 우려하고 있습니다.	이 계획은 당시 적용 교당 지원을 얻지 못했지만 SNP의 수석 수치는 10 월 19 일 이전에 거래가 없으면 Johnson이 법률을 지연시키는 법을 지연시킬 법을 강요 할 수 있다고 우려하고 있습니다.	0.0
355	니컬라 스터전 SNP 당대표는 존슨 총리에게 일을 계속 맡기는 건 ‘끔찍한 생각’이기 때문에 브렉시트 연장을 위해 코빈 의원을 데려오는 걸 제안했다.	"SNP 지도자 인 Nicola 철갑 상크리는 씨의 Johnson이 담당자 인 Johnson이 ""끔찍한 생각""이 될 것이라고 떠날 수있는 것처럼 연장을 확보하기 위해 자리 해달라고 제안했습니다."	"SNP 지도자 인 Nicola 철갑 상크리는 씨의 Johnson이 담당자 인 Johnson이 ""끔찍한 생각""이 될 것이라고 떠날 수있는 것처럼 연장을 확보하기 위해 자리 해달라고 제안했습니다."	0.0
356	"그녀는 노동당 당대표를 데려오거나 다른 임시 총리를 임명하자는 트윗에 다음과 같이 답했다. ""이에 동의한다.”"	"Tweet에 응답 노동 지도자 또는 임시 총리를 설치하는 것을 암시하는 것은 이렇게 말했습니다. ""이에 동의하십시오."	"Tweet에 응답 노동 지도자 또는 다른 임시 총리를 설치하는 것을 암시하는 그녀는 ""이에 동의합니다."""	0.3571
357	불신임 투표 후 오직 연장이라는 단일 목적을 위해 한 인물을 중심으로 야당과 연합하고 그 후에 바로 대선.”	"""확장을 확보 할 목적을 위해 누군가 주위에 자신감이 없으며, 즉각적인 선거를 즉각적으로 투표하십시오."	"""확장을 확보하고자하는 단독 목적을 위해 누군가 주위에 자신감이 없으며, 즉각적인 선거를 즉각적으로 선출하십시오."""	0.2308
358	"위험이 따르지 않는 일은 없지만, 존슨이 그 자리에서 노딜(심지어는 배드 딜)을 해결하길 기다리는 것은 최악의 생각인 것 같다."""	"""아무 것도 위험이 없지만 존슨이 게시물에 없거나 거래를 통해 강제로 떠나거나 나쁜 거래가 나에게 끔찍한 생각처럼 보입니다."""	"""아무 것도 위험이 없지만 존슨이 게시물에 없거나 거래를 통해 강제로 떠나거나 나쁜 거래가 나에게 끔찍한 생각처럼 보입니다."""	0.0
359	원로 하원의원인 해리엇 하먼과 케네스 클라크가 연합 정부를 이끌 잠정적인 인물로 거론되었지만 SNP의 한 고위 관계자는 노동당 당수가 해야 한다고 주장했다.	베테랑 MPS Harriet Hariet Harman과 Ken Clarke는 둘 다 화합성 정부를 이끌 수있는 잠재적 인 수치로 명명되었지만 고위 SNP 소스는 노동자가되어야 만합니다.	베테랑 MPS Harriet Hariet Harman과 Ken Clarke는 둘 다 화합성 정부를 이끌 수있는 잠재적 인 수치로 명명되었지만 고위 SNP 소스는 노동자가되어야 만합니다.	0.0
360	우리가 불신임 투표로 새 총리를 임명해야 할 것이라는 게 점점 명확해지고 있다, 그래야 브렉시트 연장을 요청하고 선거를 치룰 수 있다라고 그는 ITV의 로버트 페스톤에게 말했다.	"ITV의 Robert Peston에게 말했다. ""라고 우리는 BREXIT에 지연을 요청할 수 있으므로 새로운 총리를 설치해야한다는 것은 점점 더 분명해서 분명합니다."	"ITV의 Robert Peston에게 말했다. ""라고 우리는 BREXIT에 지연을 요청할 수 있으므로 새로운 총리를 설치해야한다는 것은 점점 더 분명해서 분명합니다."	0.0
361	“타협할 수 있는 후보, 국가적 통합을 이룰 후보를 찾는 건 특히 이런 시기에는 매우 힘들다.	"""타협안 후보자를 찾으려고 노력하는 것은 특히 우리가 가지고있는 시점에도 너무 복잡합니다."	"""타협안 후보자를 찾으려고 노력하는 것은 특히 우리가 가지고있는 시점에도 너무 복잡합니다."	0.0
362	"사람들이 원하든, 원치 않든 임시 총리는 코빈 의원이 되어야 한다."""	"사람들이 그것을 좋아하든, 임시 총리는 Corbyn이어야합니다. """	"사람들이 그것을 좋아하든, 임시 총리는 Corbyn이어야합니다. """	0.0
363	SNP 대변인은 SNP가 노딜 브렉시트를 멈추는 일과 ‘위험하고 비민주적인 영국 총리를 최대한 신속히’ 해임하는 일에 매진할 것이라고 밝혔다.	"SNP 대변인은 당사국이 없음을 멈추고 ""가능한 한 빨리이 위험하고 민감한 총리""를 제거하기 위해 노력하고 있다고 말했다."	"SNP 대변인은 당사국이 없음을 멈추고 ""가능한 한 빨리이 위험하고 민감한 총리""를 제거하기 위해 노력하고 있다고 말했다."	0.0
364	"대변인은 다음과 같이 말했다. ""이제는 (정치적 의지만 있다면) 정당들이 힘을 함쳐 브렉시트 연기를 요청하는 서한이 보리스 존슨 총리와 그 측근의 수중에 들어가지 않도록 막는 게 가능해졌다. 벤 법안을 우회하는 방법을 모색 중인 이들의 수중에 들어가지 않고, 임시 권한의 총리가 그 서한을 받아 서한을 발송할 필요가 있을 시점까지만 직위를 유지하다가 곧바로 대선을 치루는 것이다.”"	"대변인은 다음과 같이 말했습니다. ""이제 가능합니다 - 정치적 의지가있을 경우 - 당사자들은 Boris Johnson의 손에 남아 있지 않고 그의 기름을 확보 할 수있는 편지가 남아 있지 않도록하고 있습니다. Benn Act 주위를두고 있지만, 대신 임시 관리인 총리가 대신에 보낼 수있는 선거가 즉시 개최 된 선거와 함께 서신을 보내는 것만뿐입니다."	대변인은 다음과 같이 말했습니다. Benn Act 주위를 얻는 방법은 일시적인 CareTaker 총리가 보낼 수있는 한편으로는 서신을 보내는 것이 필요합니다.	2.0
365	우리는 노딜 브렉시트를 멈추고 보리스 존슨 총리를 해임한다는 목표를 달성하기 위해 아직 모든 가능성을 열어두고 있다.”	"""우리는 No-Deal Brexit를 중단하고 Boris Johnson을 없애는 목적을 달성하기 위해 모든 옵션에 열려 있습니다."""	"""우리는 No-Deal Brexit를 중단하고 Boris Johnson을 없애는 목적을 달성하기 위해 모든 옵션에 열려 있습니다."""	0.0
366	SNP의 지지를 받더라도 코빈 의원에게는 결국 아슬아슬한 투표가 될 것이다.	SNP 지원을 받아 Corbyn 씨에게 칼날 투표로 내려갈 것입니다.	SNP 지원을 받아 Corbyn 씨에게 칼날 투표로 내려갈 것입니다.	0.0
367	288명의 보수당 하원의원과 10명의 민주연합 당원이 있는 만큼, 야당은 34명의 무소속 하원의원 중 일부를 데려와야 한다.	10 개의 민주주의 주의자뿐만 아니라 288 개의 토리 MPS가 있으므로, 반대는 34 개의 독립적 인 MPS 중 일부가 보드에 올 것이라고 필요합니다.	10 개의 민주주의 주의자뿐만 아니라 288 개의 토리 MPS가 있으므로, 반대는 34 개의 독립적 인 MPS 중 일부가 보드에 올 것이라고 필요합니다.	0.0
368	"노동당은 이 계획이 노딜을 멈추기 위한 가장 단순하면서도 민주적인 방법""이라고 주장했다."	"노동은 그 계획이 ""거래를 멈추지 않는 가장 단순하고 가장 민주적 인 방법""이라고 주장했다."	"노동은 그 계획이 ""거래를 멈추지 않는 가장 단순하고 가장 민주적 인 방법""이라고 주장했다."	0.0
369	그러나 자유민주당은 코빈 의원이 이끄는 임시 정부가 하원 전체의 지지를 얻지는 못할 것이라고 여기고 있다. 토리당 출신 하원의원들과 현재 소속 정당을 탈당하는 세력의 지지를 얻어야 하기 때문이다.	그러나 자유주의 민주당은 자신의 당사자들로부터 exory mps와 탈북자의 백업이 필요할 때 Corbyn이 집안에서 필요한지지를 얻을 수 없다고 믿습니다.	그러나 자유주의 민주당은 자신의 당사자들로부터 exory mps와 탈북자의 백업이 필요할 때 Corbyn이 집안에서 필요한지지를 얻을 수 없다고 믿습니다.	0.0
370	"앵거스 지역의 컬스틴 헤어 보수당 하원의원은 다음과 같이 말했다. ""이 보고서는 많은 사람들이 오랫동안 품어왔던 의구심을 확인시켜준다. SNP하원의원들이 영국 총리 자리에 제레미 코빈 의원을 기꺼이 앉힐 거라는 것이다.”"	"앵거스를위한 kirstene 머리카락, 토리 MP는 ""이 보고서는 많은 사람들이 오랫동안 의심되는 것을 확인합니다 - SNP MP는 No10에서 Jeremy Corbyn을 행복하게합니다."	"앵거스를위한 kirstene 머리카락, 토리 MP는 ""이 보고서는 많은 사람들이 오랫동안 의심되는 것을 확인합니다 - SNP MP는 No10에서 Jeremy Corbyn을 행복하게 해줍니다."""	0.0952
371	“스코틀랜드 독립 2차 국민투표에서 코빈 의원의 애매한 위치가 국수주의자들에게 결정적 요소가 될 것이라는 점에는 의심의 여지가 없다.”	"""Corbyn의 약한 자세가 Indyref2에 대한 약세가 민족 주의자에게 결정적인 요소임을 의심의 여지가 없습니다."	"""Corbyn의 약한 입장에 대한 Corbyn이 민족 주의자에게 결정적인 요소임을 의심의 여지가 없습니다."""	0.3333
372	그는 자신이 총리가 될 경우, 2014년 국민투표를 다시 시행하기 위한 가능성을 이미 열어 두었다.”	"""그는 이미 총리가 될 경우 2014 국민 투표의 재 운영을 위해 문을 열었습니다."	"""그는 총리가된다면 2014 년 국민 투표의 재 운영을 위해 이미 문을 열었습니다."""	0.5
373	오직 보수당 정부만이 한 세대에 단 한 번 뿐인 이 사안에 대해 ‘반대’표를 던진 사람들을 지지할 것이다.”	"""보수적 인 정부만이 세대 이벤트에서 한 번이 될 것이라는 것에""아니오 ""를 투표 한 사람들을 위해 일어날 것입니다."""	"""보수적 인 정부만이 세대 이벤트에서 한 번이 될 것이라는 것에""아니오 ""를 투표 한 사람들을 위해 일어날 것입니다."""	0.0
374	오르반 헝가리 총리, 헝가리의 EU 집행위원회 후보 지지하며 “내 손에 대안 있다”고 밝혀	"헝가리 오후 Orban은 EU 이그제큐티브에 대한 후보자를 방어한다. ""주머니에 솔루션이있다"""	"헝가리 오후 Orban은 EU 이그제큐티브에 대한 후보자를 방어한다. ""주머니에 솔루션이있다"""	0.0
375	빅토르 오르반 헝가리 총리는 헝가리 의원이 유럽의회 후보에서 거부 당하자 “내 손”에 몇 가지 대안이 있다고 밝혔다.	"Viktor Orban 총리는 헝가리의 후보자가 거부당한 후에 ""주머니에""솔루션이 있습니다."	"Viktor Orban 총리는 헝가리의 후보자가 거부당한 후에 ""주머니에""솔루션이 있습니다."	0.0
376	EU 교통부 차기 집행위원장에 출마한 루마니아의 사회당 정치인인 로바나 플룸브와 EU 확장위원장에 출마한 전 헝가리 법무장관 라슬로 트로차니는 그들의 금융 거래 내역에 모순점이 발견되어 인사청문회 과정까지 올라가지 못한다는 소식을 들었다고 로이터 통신은 보도했다.	EU 수송원 - 루마니아 사회당 정치가 로바나 프로모션 및 EU 확대에 대한 제안 된 위원, Laszlo Trocsanyi의 전 헝가리 법무부 장관은 재무 제표의 불일치로 인해 발생할 수 없기 때문에 확인 청문회가 앞서 나가지 않을 것이라고 말했습니다.	EU 수송원 - 지정, 루마니아 사회주의 정치가 Rovana Plumb 및 EU 확대를위한 제안 된 위원, László Trócsányi의 전 헝가리 법무부 장관은 재무 제표의 불일치로 인해 불일치로 인해 발생할 수 없었습니다.	0.6
377	“(트로차니가) 아주 적합 EC 의원 후보라는 데 의심의 여지가 없다”라고 오르반 총리는 말했다.	"""나는 [Trocsanyi]가 유럽위원회의 일원이되는 가장 적합한 후보자 인""이라고 orban이 말했다."	"""나는 [Trócsányi]가 유럽 집행위원회의 회원이되는 가장 적합한 후보자라고 확신합니다.""orban은 말했습니다."	0.8
378	“그는 나와 이 정부를 도운 죄밖에 없다… 헝가리의 이민 문제를 해결하기 위해서 말이다.”	그의 죄는 정부와 나의 이주에서 헝가리를 보호하기 위해서는 정부와 나에게 도움을주었습니다.	그의 죄는 정부와 나의 이주에서 헝가리를 보호하기 위해서는 정부와 나에게 도움을주었습니다.	0.0
379	트로차니에게 제안을 건낸 장본인이자 자신의 이민 정책 및 여타 이슈들로 유럽연합과 계속 대치 중이던 오르반 총리에게는 EU의 이러한 움직임이 충격을 주고 있다.	이 움직임은 Trocsanyi를 제안한 Orban에 대한 당황스럽고, 이주 정책 및 기타 문제에 대한 브뤼셀과의 브뤼셀과 끊임없이 충돌 한 것으로 나타났습니다.	이 움직임은 Trócsányi를 제안한 Orban에 대한 당혹스럽고, 이주 정책 및 기타 문제에 대한 브뤼셀과의 끊임없는 충돌을 해왔습니다.	0.4706
380	클리블랜드 경찰, 검사관 평가 결과 전체 분야에서 ‘결함’	검사관의 모든 지역에서 클리블랜드 경찰이 '실패'	검사관의 모든 지역에서 클리블랜드 경찰이 '실패'	0.0
381	추문으로 얼룩진 영국 클리블랜드 경찰이 전 분야에서 검사관들에게 ‘결함’ 판정을 받은 최초의 경찰기관이 되었다.	"Scandal-Hit Cleveland Police는 검사원이 모든 분야에서 브랜드 ""실패""를위한 첫 번째 힘이되었습니다."	"Scandal-Hit Cleveland Police는 검사원이 모든 분야에서 브랜드 ""실패""를위한 첫 번째 힘이되었습니다."	0.0
382	영국 경찰, 소방 및 구조 활동 감시단이 범죄 예방 및 국민 안전 보장, 업무 효율성, 대중 및 동료에 대한 태도 등의 분야에서 면밀히 평가한 결과, 클리블랜드 경찰이 일반 분야와 핵심 3개 분야에서 부적합 판정을 받았다.	전반적으로 폐하의 좌우명 및 화재 및 구조 서비스 (HMICFR)의 폐하의 검사관이 부적절하고 3 가지 주요 지역에서는 범죄를 줄이고 사람들을 안전하게 지키고, 효율적으로 운영하고, 공개하는 방식과 공개 방식을 조사했습니다. 그것의 인력.	전반적으로 폐하의 좌우명 및 화재 및 구조 서비스 (HMICFR)의 폐하의 검사관이 부적절하고 3 가지 주요 지역에서는 범죄를 줄이고 사람들을 안전하게 지키고, 효율적으로 운영하고, 공개하는 방식과 공개 방식을 조사했습니다. 그것의 인력.	0.0
383	이번 결과는 해당 경찰기관에 대한 효과적인 특별 조치를 취할 것임을 의미한다. 이는 경찰서장과 자치경찰청장을 국가위원회에 소환하여 이 상황을 ‘대폭 개선할’ 계획에 대한 청문회를 연다는 뜻이다.	"이 결과는 강제가 효과적으로 주요 조치와 경찰과 범죄 위원이 국가위원회 이전에 불리우며 ""중요한 개선""을 보장하기위한 계획에 대해 의문을 제기하는 특별한 조치로 효과적으로 뛰어납니다."	"이 결과는 강제가 효과적으로 주요 조치와 경찰과 범죄 위원이 국가위원회 이전에 불리우며 ""중요한 개선""을 보장하기위한 계획에 대해 의문을 제기하는 특별한 조치로 효과적으로 뛰어납니다."	0.0
384	진전이 없을 경우에는 내무장관이 직접 문제 해결에 개입할 수도 있다.	그런 다음 진행 상황이없는 경우 문제를 해결할 수 있습니다.	그런 다음 진행 상황이없는 경우 문제를 해결할 수 있습니다.	0.0
385	잉글랜드 북동부의 하트풀, 레드카, 클리블랜드, 스톡턴, 미들즈브러를 관할하는 경찰기관에서 추문이 잇달아 터지고 있다.	스캔들의 끈은 잉글랜드 북동쪽에있는 Hartlepool, Redcar, Cleveland, Stockton 및 Middlesbrough를 덮고있는 힘을 능가했습니다.	스캔들의 끈은 잉글랜드 북동쪽에있는 Hartlepool, Redcar, Cleveland, Stockton 및 Middlesbrough를 덮고있는 힘을 능가했습니다.	0.0
386	거의 몇 년간 경찰서장이 6번 교체되었다.	그것은 거의 몇 년 동안 6 개의 수석전재를 보았습니다.	그것은 거의 몇 년 동안 6 개의 수석전재를 보았습니다.	0.0
387	션 프라이스 전 경찰서장은 2012년 중대한 위법행위로 해임되었다. 이 사건에서 7명의 경찰관이 기자들의 통화를 불법 도청한 혐의로 수사를 받았고, 서내 인종차별 사건이 끊이지 않고 있다.	전 지속적 인 숀 가격은 2012 년에 총기율을 위해 자루되었다. 7 명의 임원이 언론인들이 불법적으로 모니터링되었고 계급 내에서 인종 주의자들의 오랜 주장이있었습니다.	전 지속적 인 숀 가격은 2012 년에 총기율을 위해 자루되었다. 7 명의 임원이 언론인들이 불법적으로 모니터링되었고 계급 내에서 인종 주의자들의 오랜 주장이있었습니다.	0.0
388	최근 해당 경찰대 경감은 경찰의 직무 수행에 대해 거의 “당신이 상상하는 만큼 비효율적이라며, 경찰들이 노트북과 바디카메라를 공유하는 지경이라고 설명했다.	"업무 관행은 최근에 봉사자와 신체 복장 카메라를 공유 해야하는 임원들과 함께 ""상상할 수있는 것처럼 비효율적 인""비효율적 인 것처럼 앙변 조사관에 의해 최근에 기술되었습니다."	"업무 관행은 최근에 봉사자와 신체 복장 카메라를 공유 해야하는 임원들과 함께 ""상상할 수있는 것처럼 비효율적 인""비효율적 인 것처럼 앙변 조사관에 의해 최근에 기술되었습니다."	0.0
389	HMICFRS의 필 곰레이 감찰관은 클리블랜드 경찰에 대해 최근 2년 사이에 “심각하게” 타락한 “실패한 경찰”이라고 말했다.	"Fil Gormley의 HM Inspector는 지난 2 년 동안 ""중요한""열화가있는 ""실패한 힘""이라고 밝혔다."	"Fil Gormley의 HM Inspector는 지난 2 년 동안 ""중요한""열화가있는 ""실패한 힘""이라고 밝혔다."	0.0
390	"벤 허우첸 티즈 밸리 시장은 이 보고서가 ""국내 모든 경찰이 받은 조사를 통틀어 최악의 결과”였으며, 경찰력이 “붕괴되었음을 마침내 공식적으로 검증한 것”이라고 설명했고, 내무부의 즉각적인 개입이 필요하다고 말했다."	"티셔스 밸리 시장 벤 주산은 ""마침내 공식 검증""이었던 ""마침내 공식 검증""이라는 ""마침내 공식 검증""이라는 ""최악의 연구 결과""라고 묘사되었으며 본국 사무실은 지금 개입해야했습니다."	"티셔스 밸리 시장 벤 주산은 ""마침내 공식 검증""이었던 ""마침내 공식 검증""이라는 ""마침내 공식 검증""이라는 ""최악의 연구 결과""라고 묘사되었으며 본국 사무실은 지금 개입해야했습니다."	0.0
391	그는 이렇게 덧붙였다. “이제는 더 이상 논란의 대상이 아니다.	"그는 ""더 이상 분쟁이 아닙니다."	"그는 ""더 이상 분쟁이 아닙니다."	0.0
392	이 보고서에 이분법적으로 드러난 사실이다.”	이 보고서에서 흑백으로 설명 된 사실입니다.	"이 보고서에서 흑백으로 설명 된 사실입니다. """	0.1429
393	"“이번 결과는 지금까지 내가 본 것 중 가장 괴롭고 충격적인 내용이다."""	"""이 발견은 내가 읽은 가장 비참하고 충격적인 것들 중 일부입니다."""	"""이 발견은 내가 읽은 가장 비참하고 충격적인 것들 중 일부입니다."""	0.0
394	클리블랜드는 최근 HMICFRS 감찰관들의 조사를 받은 15개 경찰서 가운데 한 곳으로, 유일하게 전 분야에서 부적합 평가를 받았다.	클리블랜드는 HMICFRS 검사원이 최근에 검사 한 세대 중 하나이며 모든 분야에서 불충분 한 유일한 평가 된 세력 중 하나입니다.	클리블랜드는 HMICFRS 검사원이 최근에 검사 한 세대 중 하나이며 모든 분야에서 불충분 한 유일한 평가 된 세력 중 하나입니다.	0.0
395	곰레이 감찰관은 이렇게 덧붙였다. “클리블랜드 경찰이 범죄 예방을 중시하지 않고 있다.	"Gormley는 ""력은 범죄 예방에 적절하게 우선 순위를 부여하지 않습니다."	"Gormley는 ""력은 범죄 예방에 적절하게 우선 순위를 부여하지 않습니다."	0.0
396	전략적인 방향성도 없고 방범에 충분한 재원을 배치하지도 않는다…	전략적 방향이 부족하고, 힘은 예방 작업에 충분한 자원을 할당하지 않습니다 ...	전략적 방향이 부족하고, 힘은 예방 작업에 충분한 자원을 할당하지 않습니다 ...	0.0
397	아동을 비롯한 취약 계층에 제대로 대처하지 못하고 있다.	그것은 아이들을 포함하여 취약한 사람들에게 적절하게 대응하지 못하고 있습니다.	그것은 아이들을 포함하여 취약한 사람들에게 적절하게 대응하지 못하고 있습니다.	0.0
398	이들을 보호할 기회를 놓쳤고 이들을 위험에 노출시키고 있다.”	"그것은 그들을 보호하고 그들을 위험에 빠뜨릴 수있는 기회가 없습니다. """	"그것은 그들을 보호하고 그들을 위험에 빠뜨릴 수있는 기회가 없습니다. """	0.0
399	"곰레이 감찰관은 고위 지도층이 일관되게 “윤리적으로 행동하지” 않고 있고, “클리블랜드 내 고위 지도층의 부적절한 행위가 너무 심각한 나머지 경찰들의 효율적, 효과적 수사에 지장을 준다""고 말했다."	"그는 고위 지도자들이 일관되게 ""윤리적 행동""을 보여주지 않으며, ""클리블랜드 내의 고위 지도자들의 수석 지도자들의 부적절한 행동이 힘의 효율성과 효율성에 영향을 미치는 것이 너무 심오합니다."""	"그는 고위 지도자들이 일관되게 ""윤리적 행동""을 보여주지 않으며, ""클리블랜드 내의 고위 지도자들의 수석 지도자들의 부적절한 행동이 힘의 효율성과 효율성에 영향을 미치는 것이 너무 심오합니다."""	0.0
